frame;ID;left_xmin;left_ymin;left_xmax;left_ymax;f;C_x;C_y;x_il;v_il;x_ir;v_ir;disparitas;X_val;Y_val;Z_val;distance_cm;;X_actual;Y_actual;Z_actual
2;16;1457;298;1521;354;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1489;326;1300;324;189;0.3339789771059028;0.21232698454775525;0.6482930938381448;73.27;;;;
2;17;1439;225;1491;266;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1465;245;1326;245;139;0.433389137482019;0.228124429747411;0.9164674473776774;101.97;;;;
2;18;1136;257;1193;304;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1164;280;1001;280;163;0.1479100861892907;0.21685757832222577;0.7686398299077631;78.72;;;;
2;19;569;267;633;322;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;601;294;420;294;181;-0.24018025501955134;0.20333249215014293;0.6875581166339928;72.92;;;;
2;20;709;205;765;251;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;737;228;604;227;133;-0.20411518021143268;0.22512804053349061;0.9654835104127693;99.22;;;;
3;0;925;258;995;308;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;960;283;794;284;166;-0.0022808237154998984;0.21481720360123854;0.7536640586733552;75.77;;;;
3;1;677;310;745;368;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;711;339;506;337;205;-0.14765040769782167;0.20234750755325792;0.5938884930874445;61.27;;;;
3;2;845;238;904;287;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;874;262;718;263;156;-0.06860238945027783;0.21459334665914098;0.810055406962154;81.67;;;;
3;3;1500;242;1551;293;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1525;267;1374;268;151;0.4466452418380007;0.22514136620947459;0.8348910326321102;95.25;;;;
3;4;1315;267;1381;322;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1348;294;1177;295;171;0.2701551132473836;0.21522328116477116;0.7277661936301327;78.04;;;;
3;5;1251;282;1324;348;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1287;315;1109;311;178;0.21839406704666392;0.21902401571997454;0.6920652211485037;73.12;;;;
3;6;1019;184;1068;233;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1043;208;926;208;117;0.0819198479514573;0.23814438047637254;1.107.775.189.055.450;111.83;;;;
3;7;1233;212;1284;251;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1258;231;1132;230;126;0.2808969226507651;0.2401103168431512;10.176.924.472.199.100;106.41;;;;
3;8;1085;199;1134;249;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1109;224;983;223;126;0.1389460139572358;0.23433493663421046;10.210.268.645.382.200;103.76;;;;
3;9;1379;204;1424;252;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1401;228;1275;226;126;0.41713168737005835;0.23763515389646234;10.191.214.832.134.700;110.86;;;;
3;10;866;190;917;234;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;891;212;764;213;127;-0.06819928626331546;0.22266708575416788;10.186.584.178.942.500;102.56;;;;
3;11;488;356;599;441;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;543;398;304;393;239;-0.2110246423395746;0.19922465619377802;0.494585731761033;53.74;;;;
3;12;1265;187;1315;232;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1290;209;1171;209;119;0.3296996723082609;0.23501554083610515;1.088.652.753.006.370;114.42;;;;
3;13;1223;243;1283;289;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1253;266;1104;263;149;0.233508839843635;0.22746570103268274;0.8465004391891148;88.48;;;;
3;14;1438;224;1491;266;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1464;245;1325;245;139;0.432525547385192;0.228124429747411;0.9164674473776774;101.93;;;;
3;15;1457;298;1521;354;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1489;326;1300;324;189;0.3339789771059028;0.21232698454775525;0.6482930938381448;73.27;;;;
