frame;ID;X_pc;Y_pc;Z_pc;Z_slant_pc;cm_pc;X_ts;Y_ts;Z_ts;Z_slant_ts;cm_ts;X_actual;Y_actual;Z_actual;jarak actual;
2;20;-0.20139831;0.23190662;0.9577527;10.690.494;105.02;-0.20411518021143268;0.22512804053349061;0.9654835104127693;1.012.177.874.835.320;99.22;;;;;
3;0;-0.0023615598;0.22620112;0.7751615;0.80734485;78.22;-0.0022808237154998984;0.21481720360123854;0.7536640586733552;0.7836843410811981;75.77;;;;;
3;1;-0.14650257;0.20852691;0.58869207;0.65618306;62.5;-0.14765040769782167;0.20234750755325792;0.5938884930874445;0.6445531001616736;61.27;;;;;
3;2;-0.07454628;0.22418165;0.80627155;0.8617169;83.82;-0.06860238945027783;0.21459334665914098;0.810055406962154;0.8408010196338244;81.67;;;;;
3;3;0.44471228;0.23095596;0.8177457;0.95992935;93.89;0.4466452418380007;0.22514136620947459;0.8348910326321102;0.9732541513935125;95.25;;;;;
3;4;0.2813174;0.22668543;0.73395205;0.90087605;87.84;0.2701551132473836;0.21522328116477116;0.7277661936301327;0.8055733849624929;78.04;;;;;
3;5;0.21389107;0.2230159;0.6763243;0.7698199;74.34;0.21839406704666392;0.21902401571997454;0.6920652211485037;0.7580380981894074;73.12;;;;;
3;6;0.090083495;0.24705064;10.813.779;11.130.233;109.49;0.0819198479514573;0.23814438047637254;1.107.775.189.055.450;11.360.411.422.689.300;111.83;;;;;
3;7;0.30190104;0.2512897;10.432.384;11.242.658;110.63;0.2808969226507651;0.2401103168431512;10.176.924.472.199.100;10.827.067.758.805.500;106.41;;;;;
3;8;0.1350244;0.24459884;10.008.106;10.469.041;102.76;0.1389460139572358;0.23433493663421046;10.210.268.645.382.200;10.567.472.334.625.300;103.76;;;;;
3;9;0.7703704;0.41851258;19.081.644;19.336.554;192.33;0.41713168737005835;0.23763515389646234;10.191.214.832.134.700;11.265.335.807.346.400;110.86;;;;;
3;10;-0.07877742;0.2539738;10.935.712;11.256.869;110.78;-0.06819928626331546;0.22266708575416788;10.186.584.178.942.500;10.449.386.326.822.700;102.56;;;;;
3;11;-0.21341845;0.20823517;0.4890892;0.5891703;55.42;-0.2110246423395746;0.19922465619377802;0.494585731761033;0.5734430306243776;53.74;;;;;
3;12;0.3315565;0.25029188;10.908.399;1.320.447;130.52;0.3296996723082609;0.23501554083610515;1.088.652.753.006.370;11.615.072.083.215.900;114.42;;;;;
3;13;0.2342132;0.23500374;0.83995765;0.93431276;91.27;0.233508839843635;0.22746570103268274;0.8465004391891148;0.907099783363867;88.48;;;;;
3;14;0.75102043;0.373995;15.739.522;15.809.484;156.82;0.432525547385192;0.228124429747411;0.9164674473776774;10.387.645.001.112.600;101.93;;;;;
3;15;0.34273207;0.2239337;0.6472361;0.80615264;78.09;0.3339789771059028;0.21232698454775525;0.6482930938381448;0.7595450223877986;73.27;;;;;
3;16;-0.2567957;0.20437524;0.61267674;0.7010358;67.19;-0.2578426730433259;0.19842757178637765;0.6250131464604272;0.7046259848568805;67.56;;;;;
3;17;-0.016790885;0.21163392;0.5807003;0.6386375;60.65;-0.01524036056470393;0.20489775220749715;0.5889660412661155;0.6237758854063747;59.08;;;;;
